"name","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","cnt_score","essentialNode"
"TCN1",3.21888412017167,9.37629858681597e-05,0.310666666666667,0.666666666666667,4,6,FALSE,13.5,0,4,0,0.974785407725322,FALSE,0,"TCN1",102,0.46551724137931,78.0166666666667,"No"
"TEAD4",2.5450643776824,0.00374771837055775,0.3929173693086,0.266666666666667,6,6,FALSE,30.1666666666667,0,6,0,0.982442450253609,FALSE,0,"TEAD4",1494,0.252824858757062,99.1166666666667,"Yes"
"TFDP1",2.40772532188841,6.35688226400703e-05,0.415329768270945,0.933823529411765,17,5,FALSE,63.7058823529412,0,17,0,0.984003121342177,FALSE,0,"TFDP1",46,0.458315700380872,107.933333333333,"Yes"
"TIMELESS",2.62660944206009,0.000145070042983184,0.380718954248366,0.878306878306878,28,6,FALSE,59.9642857142857,0,28,0,0.981515801794772,FALSE,0,"TIMELESS",276,0.535395408163265,106.233333333333,"Yes"
"TK1",2.10729613733906,0.00879916371809233,0.474541751527495,0.762559492332099,62,5,FALSE,57.0967741935484,0,62,0,0.98741708934842,FALSE,0,"TK1",7758,0.356854838709677,134.233333333333,"Yes"
"TMEM97",2.69957081545064,0.000752320489130707,0.370429252782194,0,2,6,FALSE,48.5,0,2,0,0.98068669527897,FALSE,0,"TMEM97",398,0.516304347826087,92.35,"No"
"TNFRSF12A",3.31759656652361,0,0.301423027166882,1,3,6,FALSE,12,0,3,0,0.973663675380414,FALSE,0,"TNFRSF12A",0,0.48,75.45,"No"
"TOMM34",3.69098712446352,0,0.27093023255814,0,1,7,FALSE,5,0,1,0,0.969420600858369,FALSE,0,"TOMM34",0,0,66.1761904761905,"No"
"TOP2A",1.95708154506438,0.0436057893274679,0.510964912280702,0.540993241257714,83,5,FALSE,48.8915662650602,0,83,0,0.989124073351541,FALSE,0,"TOP2A",22208,0.287597448618001,146.7,"Yes"
"TPX2",2.15450643776824,0.00308966665879016,0.464143426294821,0.863276836158192,60,5,FALSE,59.1333333333333,0,60,0,0.986880608661725,FALSE,0,"TPX2",5490,0.391611479028698,131.733333333333,"Yes"
"TRAP1",2.81115879828326,0.000366738443682518,0.355725190839695,0.642857142857143,8,6,FALSE,21.875,0,8,0,0.979418650019508,FALSE,0,"TRAP1",276,0.245786516853933,92.2666666666667,"No"
