"","node1","node2","score"
"608","CCNA2","TRIP13",0.778
"609","CCNA2","RNASEH2A",0.566
"610","CCNA2","RAD51AP1",0.734
"611","CCNA2","CDC25B",0.982
"612","CCNA2","CCNB1",0.995
"613","CCNA2","CDK4",0.999
"614","CCNA2","TROAP",0.661
"615","CCNA2","KIF11",0.978
"616","CCNA2","MCM4",0.895
"617","CCNA2","POLQ",0.416
"618","CCNA2","MCM2",0.827
"619","CCNA2","CDCA5",0.863
"620","CCNA2","CCNB2",0.965
"621","CCNA2","MAD2L1",0.988
"622","CCNA2","MELK",0.939
"623","CCNA2","PCLAF",0.886
"624","CCNA2","TPX2",0.954
"625","CCNA2","CDT1",0.989
"626","CCNA2","CDC25A",0.934
"627","CCNA2","CDCA7",0.509
"628","CCNA2","MCM7",0.947
"629","CCNA2","CKS1B",0.999
"630","CCNA2","PRKDC",0.619
"631","CCNA2","TYMS",0.865
"632","CCNA2","KIF15",0.873
"633","CCNA2","TACC3",0.747
"634","CCNA2","LMNB2",0.528
"635","CCNA2","CDKN3",0.947
"636","CCNA2","CENPA",0.99
"637","CCNA2","UBE2C",0.994
"638","CCNA2","DNMT1",0.511
"639","CCNA2","IQGAP3",0.464
"640","CCNA2","EXO1",0.879
"641","CCNA2","CENPF",0.944
"642","CCNA2","DTL",0.907
"643","CCNA2","DKC1",0.614
"644","CCNA2","TTK",0.939
"645","CCNA2","CEP55",0.923
"646","CCNA2","STIL",0.558
"647","CCNA2","RAD54L",0.589
"648","CCNA2","KIF2C",0.949
"649","CCNA2","CDC20",0.999
"650","CCNA2","DNTTIP1",0.581
"651","CCNA2","CDCA8",0.952
"652","CCNA2","KIF4A",0.895
"653","CCNA2","TFDP1",0.862
"654","CCNA2","CKS2",0.99
"655","CCNA2","RFC4",0.76
"656","CCNA2","HMMR",0.921
"657","CCNA2","PTTG1",0.934
"658","CCNA2","PRC1",0.91
"659","CCNA2","KIF20A",0.974
"660","CCNA2","CHEK1",0.939
"661","CCNA2","E2F5",0.775
"662","CCNA2","TOP2A",0.982
"663","CCNA2","PBK",0.943
"664","CCNA2","CDCA3",0.94
"665","CCNA2","TIMELESS",0.41
"666","CCNA2","TK1",0.78
"667","CCNA2","MYC",0.734
"668","CCNA2","UHRF1",0.742
"669","CCNA2","MCM3",0.869
"670","CCNA2","UBE2T",0.637
"671","CCNA2","NUSAP1",0.922
"672","CCNB1","TRIP13",0.797
"673","CCNB1","RNASEH2A",0.461
"674","CCNB1","RAD51AP1",0.618
"675","CCNB1","CDC25B",0.951
"676","CCNB1","MET",0.402
"677","CCNB1","E2F5",0.41
"678","CCNB1","TFDP1",0.429
"679","CCNB1","CXCL1",0.477
"680","CCNB1","LMNB2",0.509
"681","CCNB1","STIL",0.527
"682","CCNB1","CDCA7",0.54
"683","CCNB1","RCC2",0.548
"684","CCNB1","RAD54L",0.556
"685","CCNB1","UHRF1",0.567
"686","CCNB1","PRKDC",0.603
"687","CCNB1","MCM2",0.608
"688","CCNB1","DNMT1",0.608
"689","CCNB1","TROAP",0.626
"690","CCNB1","DTL",0.643
"691","CCNB1","RFC4",0.651
"692","CCNB1","MCM7",0.667
"693","CCNB1","TACC3",0.703
"694","CCNB1","EXO1",0.773
"695","CCNB1","MCM3",0.776
"696","CCNB1","PCLAF",0.796
"697","CCNB1","CDT1",0.798
"698","CCNB1","TYMS",0.841
"699","CCNB1","UBE2T",0.851
"700","CCNB1","CDCA5",0.869
"701","CCNB1","MCM4",0.869
"702","CCNB1","MYC",0.872
"703","CCNB1","TK1",0.879
"704","CCNB1","KIF15",0.916
"705","CCNB1","NUSAP1",0.923
"706","CCNB1","KIF4A",0.931
"707","CCNB1","PRC1",0.932
"708","CCNB1","CHEK1",0.935
"709","CCNB1","TTK",0.936
"710","CCNB1","CDCA3",0.936
"711","CCNB1","CDK4",0.94
"712","CCNB1","CEP55",0.94
