"PC-1"	"PC-2"	"Batch"	"Group"
"GSM1077719"	72.9165261599156	20.7549238361528	"GSE44076"	"Normal"
"GSM1077720"	73.5780187162795	20.6431760981234	"GSE44076"	"Normal"
"GSM1077721"	71.0288451399386	20.5293879723814	"GSE44076"	"Normal"
"GSM1077722"	72.8075810680924	19.4608019175249	"GSE44076"	"Normal"
"GSM1077723"	74.6808619309721	16.199873232133	"GSE44076"	"Normal"
"GSM1077724"	71.2353864154463	21.1334507944255	"GSE44076"	"Normal"
"GSM1077725"	70.5898203092646	20.1777291175429	"GSE44076"	"Normal"
"GSM1077726"	72.457806805305	17.2608155378521	"GSE44076"	"Normal"
"GSM1077727"	72.4203604212515	19.9026970872336	"GSE44076"	"Normal"
"GSM1077728"	72.8294581711483	21.4126594610292	"GSE44076"	"Normal"
"GSM1077729"	70.4412292732015	21.4687128763018	"GSE44076"	"Normal"
"GSM1077730"	72.0288117472189	21.0120706269228	"GSE44076"	"Normal"
"GSM1077731"	72.6144220249484	19.1380665329004	"GSE44076"	"Normal"
"GSM1077732"	72.9904292118931	20.6425666690488	"GSE44076"	"Normal"
"GSM1077733"	73.2527325162925	20.3465980220962	"GSE44076"	"Normal"
"GSM1077734"	70.2337056889736	22.287480132342	"GSE44076"	"Normal"
"GSM1077735"	72.024195039408	21.2431734699484	"GSE44076"	"Normal"
"GSM1077736"	85.1778560827786	20.0245005419164	"GSE44076"	"Normal"
"GSM1077737"	71.9340947967926	17.6436890010697	"GSE44076"	"Normal"
"GSM1077738"	70.6794997113775	20.3119128262193	"GSE44076"	"Normal"
"GSM1077739"	71.7861210959345	21.1071939264984	"GSE44076"	"Normal"
"GSM1077740"	73.0443573824277	21.5720077626961	"GSE44076"	"Normal"
"GSM1077741"	77.9759542339428	19.4534550722484	"GSE44076"	"Normal"
"GSM1077742"	72.3214618691638	19.4023014058923	"GSE44076"	"Normal"
"GSM1077743"	72.9126278963059	19.2442712461765	"GSE44076"	"Normal"
"GSM1077744"	71.4426082326	20.7016014358305	"GSE44076"	"Normal"
"GSM1077745"	72.2875352739541	19.3881617692924	"GSE44076"	"Normal"
"GSM1077746"	68.7994438962019	18.5783862779174	"GSE44076"	"Tumor"
"GSM1077747"	71.8213628721046	21.0473119756107	"GSE44076"	"Tumor"
"GSM1077748"	68.6701476838821	20.8203882880583	"GSE44076"	"Tumor"
"GSM1077749"	72.4795430245818	20.519718723919	"GSE44076"	"Tumor"
"GSM1077750"	70.7785647704147	21.2987087513331	"GSE44076"	"Tumor"
"GSM1077751"	69.8226932112586	18.7308267528256	"GSE44076"	"Tumor"
"GSM1077752"	71.7986473830032	20.9340585808005	"GSE44076"	"Tumor"
"GSM1077753"	70.5732394696426	20.3504340494422	"GSE44076"	"Tumor"
"GSM1077754"	71.3009788889097	21.0938345071481	"GSE44076"	"Tumor"
"GSM1077755"	69.1080021884442	19.5070056968495	"GSE44076"	"Tumor"
"GSM1077756"	68.8650130982028	19.9277599318044	"GSE44076"	"Tumor"
"GSM1077757"	71.5701509831258	21.5570204020514	"GSE44076"	"Tumor"
"GSM1077758"	68.7836899551642	20.5410460451792	"GSE44076"	"Tumor"
"GSM1077759"	69.3940234289065	20.6626604128693	"GSE44076"	"Tumor"
"GSM1077760"	67.885846256602	21.4847120620131	"GSE44076"	"Tumor"
"GSM1077761"	70.5095678253373	20.6848934771521	"GSE44076"	"Tumor"
"GSM1077762"	68.0318393883414	20.5393393818194	"GSE44076"	"Tumor"
"GSM1077763"	71.0634251131276	18.9615468442121	"GSE44076"	"Tumor"
"GSM1077764"	70.1548447657595	21.1686047971662	"GSE44076"	"Tumor"
"GSM1077765"	69.9683780918748	20.9409096054992	"GSE44076"	"Tumor"
"GSM1077766"	69.8701152393436	20.568885713774	"GSE44076"	"Tumor"
"GSM1077767"	70.7936896614629	22.1083454836134	"GSE44076"	"Tumor"
"GSM1077768"	68.9439550552962	19.7112365109373	"GSE44076"	"Tumor"
"GSM1077769"	69.6759409357743	20.2235933951616	"GSE44076"	"Tumor"
"GSM1077770"	72.2137133144744	20.5845589218541	"GSE44076"	"Tumor"
"GSM1077771"	71.4813625669969	18.1737356799832	"GSE44076"	"Tumor"
"GSM1077772"	69.8200230997851	20.3967255702924	"GSE44076"	"Tumor"
"GSM1077773"	68.5395469614621	20.4404422053212	"GSE44076"	"Tumor"
"GSM1077774"	71.6000455164224	18.6356009486241	"GSE44076"	"Tumor"
"GSM1077775"	72.432429167557	19.1813850597495	"GSE44076"	"Tumor"
"GSM1077776"	69.5961859915969	21.2501975406347	"GSE44076"	"Tumor"
"GSM1077777"	70.0827564325039	17.0421489059105	"GSE44076"	"Tumor"
"GSM1077778"	71.7897581246408	19.1348644200779	"GSE44076"	"Tumor"
"GSM1077779"	69.5426625673951	21.7023940072398	"GSE44076"	"Tumor"
"GSM1077780"	68.8378638896065	19.5673041515604	"GSE44076"	"Tumor"
"GSM1077781"	69.0440902265455	20.6487592917333	"GSE44076"	"Tumor"
"GSM1077782"	71.3424105219986	19.1168111915515	"GSE44076"	"Tumor"
"GSM1077783"	71.1611199767655	21.2343538249793	"GSE44076"	"Tumor"
"GSM1077784"	70.682096752411	20.4119004302875	"GSE44076"	"Tumor"
"GSM1077785"	69.6614807160004	20.1264876493123	"GSE44076"	"Tumor"
"GSM1077786"	69.1670099559337	20.3445140280678	"GSE44076"	"Tumor"
"GSM1077787"	70.3022395508798	19.7511882127868	"GSE44076"	"Tumor"
"GSM1077788"	69.4132262755746	20.6168179358837	"GSE44076"	"Tumor"
"GSM1077789"	70.5161962443426	16.3671114909271	"GSE44076"	"Tumor"
"GSM1077790"	71.4000035459434	19.9251029833966	"GSE44076"	"Tumor"
"GSM1077791"	71.1252789579247	20.1680765159551	"GSE44076"	"Tumor"
"GSM1077792"	71.9771266295736	20.3175820915195	"GSE44076"	"Tumor"
"GSM1077793"	77.8623531798661	17.2470100137671	"GSE44076"	"Tumor"
"GSM1077794"	71.8933551365103	21.2292266611337	"GSE44076"	"Tumor"
"GSM1077795"	69.5173351537352	19.5930393509145	"GSE44076"	"Tumor"
"GSM1077796"	70.5537001254417	18.9151152474939	"GSE44076"	"Tumor"
"GSM1077797"	67.692967355164	20.4394694083603	"GSE44076"	"Tumor"
"GSM1077798"	69.7995519679257	18.9852662683073	"GSE44076"	"Tumor"
"GSM1077799"	70.8753046978651	19.9575689442269	"GSE44076"	"Tumor"
"GSM1077800"	73.7664105174809	9.2729480284754	"GSE44076"	"Tumor"
"GSM1077801"	69.04669014687	20.1718557992555	"GSE44076"	"Tumor"
"GSM1077802"	69.6350108325394	21.3097496718329	"GSE44076"	"Tumor"
"GSM1077803"	69.6273086585491	20.1580721736286	"GSE44076"	"Tumor"
"GSM1077804"	70.1922653275373	19.0059266961945	"GSE44076"	"Tumor"
"GSM1077805"	69.5679452360354	18.5904819182606	"GSE44076"	"Tumor"
"GSM1077806"	69.9733494264185	20.6826479656795	"GSE44076"	"Tumor"
"GSM1077807"	68.6023085668372	18.3020529471565	"GSE44076"	"Tumor"
"GSM1077808"	69.6562458056377	19.8775783880484	"GSE44076"	"Tumor"
"GSM1077809"	68.3755410928781	20.186856800005	"GSE44076"	"Tumor"
"GSM1077810"	72.5915577939892	20.3460985503442	"GSE44076"	"Tumor"
"GSM1077811"	68.5162043519296	19.3223833472161	"GSE44076"	"Tumor"
"GSM1077812"	68.8238136322053	20.2968129397356	"GSE44076"	"Tumor"
"GSM1077813"	68.2724861288504	18.4845455519044	"GSE44076"	"Tumor"
"GSM1077814"	70.9923068623997	20.9464140384869	"GSE44076"	"Tumor"
"GSM1077815"	72.2909577620799	18.5788140904205	"GSE44076"	"Tumor"
"GSM1077816"	71.5197858751769	20.5490753717908	"GSE44076"	"Tumor"
"GSM1077817"	68.9234668695371	19.2288935931419	"GSE44076"	"Tumor"
"GSM1077818"	70.2555747014283	21.6020644982115	"GSE44076"	"Tumor"
"GSM1077819"	71.592464284073	20.5781093221113	"GSE44076"	"Tumor"
"GSM1077820"	69.1130298075821	20.4734337922022	"GSE44076"	"Tumor"
"GSM1077821"	70.2030158592363	18.6805140540684	"GSE44076"	"Tumor"
"GSM1077822"	70.7929860775058	19.473490518283	"GSE44076"	"Tumor"
"GSM1077823"	70.0854346598115	19.4966553961359	"GSE44076"	"Tumor"
"GSM1077824"	70.6022407920239	20.0814780802777	"GSE44076"	"Tumor"
"GSM1077825"	69.223774629764	20.9471639377466	"GSE44076"	"Tumor"
"GSM1077826"	70.7855915084622	20.0948496779883	"GSE44076"	"Tumor"
"GSM1077827"	69.1385518652402	20.6122490014819	"GSE44076"	"Tumor"
"GSM1077828"	70.8102892608722	17.8520267014071	"GSE44076"	"Tumor"
"GSM1077829"	71.5590168618699	21.3550836892756	"GSE44076"	"Tumor"
"GSM1077830"	69.5617491076188	18.1474297938932	"GSE44076"	"Tumor"
"GSM1077831"	71.1508510630016	19.0679434579905	"GSE44076"	"Tumor"
"GSM1077832"	69.0219140830689	21.2768213156549	"GSE44076"	"Tumor"
"GSM1077833"	71.0178165216538	20.4216861115915	"GSE44076"	"Tumor"
"GSM1077834"	70.7948690581859	20.1191016426076	"GSE44076"	"Tumor"
"GSM1077835"	72.166455706675	20.4343506949106	"GSE44076"	"Tumor"
"GSM1077836"	69.0791115692794	19.7582152124466	"GSE44076"	"Tumor"
"GSM1077837"	70.1733278843058	19.4015561943972	"GSE44076"	"Tumor"
